# Nyra comparison — runtime + memory benchmark
# Generated: 2026-06-23T21:27:07Z
# Runs per command: 5 (warmup 1 discarded)
# Time: mean wall clock in milliseconds (lower is better)
# Memory: peak max RSS in KB during timed runs (lower is better)
# Binary size: hello-world release / stripped / UPX (see binary-size.tsv)
# Platform: Darwin arm64
# Nyra build: release; cpu_bound_pgo=release+pgo; Nyra flags: --no-prelude, -march=native (host release default)
# Isolation: languages run in isolation (BENCH_LANG_COOLDOWN=2s between langs)
# Compiled langs: -O3 -flto=thin (Nyra --release, clang/clang++/rustc aligned)
# Note: Nyra/C/C++/Go/Rust/Java = compiled; Node/Python = runtime interpreters


Nyra appears twice:

  • Nyra (Zero Types)
  • Nyra (Explicit Types)

Both generate native code.

The benchmark demonstrates that Zero Types introduces no measurable runtime overhead.

| Suite        | Language               | Time (ms) | Memory     |
| collections_hashset | Nyra (Zero Types)      |    34.4070 |    8672 KB |
| collections_vec_push | Nyra (Zero Types)      |     3.9401 |    3056 KB |
| collections_vec_pop | Nyra (Zero Types)      |     4.8806 |    3056 KB |
| collections_sort | Nyra (Zero Types)      |     2.4734 |    1328 KB |
| algorithms_qsort | Nyra (Zero Types)      |     2.4517 |    1040 KB |
| algorithms_mergesort | Nyra (Zero Types)      |     2.2752 |    1040 KB |
| algorithms_binary_search | Nyra (Zero Types)      |     2.1046 |    1040 KB |
| algorithms_json_parse | Nyra (Zero Types)      |    15.9545 |    1040 KB |
| algorithms_regex | Nyra (Zero Types)      |    18.5455 |    1136 KB |
| concurrency_spawn_tasks | Nyra (Zero Types)      |    31.5212 |    1424 KB |
| concurrency_channel_pingpong | Nyra (Zero Types)      |    51.0538 |    1072 KB |
| concurrency_worker_pool | Nyra (Zero Types)      | 10793.2800 |    3248 KB |
| concurrency_parallel_map | Nyra (Zero Types)      |     3.4450 |    1136 KB |
| cpu_bound_pgo | Nyra (Zero Types)      |   814.0100 |    1040 KB |
| hello        | Nyra (Explicit Types)  |     2.1564 |    1040 KB |
| arithmetic   | Nyra (Explicit Types)  |     2.1813 |    1040 KB |
| dungeon      | Nyra (Explicit Types)  |     2.0690 |    1040 KB |
| loop         | Nyra (Explicit Types)  |  1182.1680 |    1040 KB |
| fib          | Nyra (Explicit Types)  |  1177.5280 |    1040 KB |
| nested       | Nyra (Explicit Types)  |    52.4884 |    1040 KB |
| struct_sum   | Nyra (Explicit Types)  |     2.0816 |    1040 KB |
| loop_nofold  | Nyra (Explicit Types)  |  1177.7120 |    1040 KB |
| cpu_bound    | Nyra (Explicit Types)  |   808.8380 |    1040 KB |
| mix          | Nyra (Explicit Types)  |  1528.7700 |    1040 KB |
| memory_alloc_struct | Nyra (Explicit Types)  |    11.8550 |    1072 KB |
| memory_free_struct | Nyra (Explicit Types)  |    11.8094 |    1072 KB |
| memory_arena | Nyra (Explicit Types)  |     4.6841 |    1040 KB |
| memory_ownership | Nyra (Explicit Types)  |     4.0945 |    1040 KB |
| strings_concat | Nyra (Explicit Types)  |  1526.9020 | 3389952 KB |
| strings_substring | Nyra (Explicit Types)  |     4.7069 |    2624 KB |
| strings_replace | Nyra (Explicit Types)  |     5.5296 |    2624 KB |
| strings_split | Nyra (Explicit Types)  |     4.6424 |    2624 KB |
| strings_utf8 | Nyra (Explicit Types)  |     8.5726 |    1040 KB |
| collections_hashmap | Nyra (Explicit Types)  |    34.8680 |    8768 KB |
| collections_hashset | Nyra (Explicit Types)  |    34.5860 |    8640 KB |
| collections_vec_push | Nyra (Explicit Types)  |     4.2276 |    3120 KB |
| collections_vec_pop | Nyra (Explicit Types)  |     5.3084 |    3056 KB |
| collections_sort | Nyra (Explicit Types)  |     2.5803 |    1296 KB |
| algorithms_qsort | Nyra (Explicit Types)  |     2.4749 |    1040 KB |
| algorithms_mergesort | Nyra (Explicit Types)  |     2.4933 |    1040 KB |
| algorithms_binary_search | Nyra (Explicit Types)  |     2.3133 |    1040 KB |
| algorithms_json_parse | Nyra (Explicit Types)  |    16.2291 |    1040 KB |
| algorithms_regex | Nyra (Explicit Types)  |    18.8368 |    1072 KB |
| concurrency_spawn_tasks | Nyra (Explicit Types)  |    31.5756 |    1456 KB |
| concurrency_channel_pingpong | Nyra (Explicit Types)  |    51.8880 |    1072 KB |
| concurrency_worker_pool | Nyra (Explicit Types)  | 10764.4000 |    3184 KB |
| concurrency_parallel_map | Nyra (Explicit Types)  |     3.4203 |    1152 KB |
| cpu_bound_pgo | Nyra (Explicit Types)  |   814.8640 |    1040 KB |
| hello        | C                      |     2.3020 |    1040 KB |
| arithmetic   | C                      |     2.4409 |    1072 KB |
| dungeon      | C                      |     2.1721 |    1040 KB |
| loop         | C                      |  1298.8840 |    1040 KB |
| fib          | C                      |  1303.3520 |    1040 KB |
| nested       | C                      |    57.8440 |    1040 KB |
| struct_sum   | C                      |     2.1280 |    1040 KB |
| loop_nofold  | C                      |  1295.3520 |    1056 KB |
| cpu_bound    | C                      |   462.5680 |    1056 KB |
| mix          | C                      |  1797.8000 |    1040 KB |
| memory_alloc_struct | C                      |     4.0010 |    1040 KB |
| memory_free_struct | C                      |     3.9026 |    1040 KB |
| memory_arena | C                      |     3.9280 |    1040 KB |
| memory_ownership | C                      |     4.0266 |    1040 KB |
| hello        | C++                    |     2.2364 |    1040 KB |
| arithmetic   | C++                    |     2.3370 |    1056 KB |
| dungeon      | C++                    |     2.3036 |    1056 KB |
| loop         | C++                    |  1295.2040 |    1056 KB |
| fib          | C++                    |  1295.8100 |    1056 KB |
| nested       | C++                    |    57.6682 |    1056 KB |
| struct_sum   | C++                    |     2.1645 |    1056 KB |
| loop_nofold  | C++                    |  1306.0240 |    1056 KB |
| cpu_bound    | C++                    |   467.6940 |    1056 KB |
| mix          | C++                    |  1803.3820 |    1056 KB |
| hello        | Go                     |     3.0624 |    3600 KB |
| arithmetic   | Go                     |     3.0902 |    3616 KB |
| dungeon      | Go                     |     2.9256 |    3440 KB |
| loop         | Go                     |  1308.2920 |    3584 KB |
| fib          | Go                     |  1299.2120 |    3472 KB |
| nested       | Go                     |    58.5008 |    3472 KB |
| struct_sum   | Go                     |    28.7644 |    3664 KB |
| loop_nofold  | Go                     |  1296.7100 |    3632 KB |
| cpu_bound    | Go                     |   579.0500 |    3632 KB |
| mix          | Go                     |  1806.1780 |    3632 KB |
| memory_alloc_struct | Go                     |     5.4047 |    3600 KB |
| memory_free_struct | Go                     |     5.0280 |    3552 KB |
| memory_arena | Go                     |     5.3298 |    3600 KB |
| memory_ownership | Go                     |     5.2583 |    3552 KB |
| strings_concat | Go                     |   309.2760 |   17744 KB |
| collections_hashmap | Go                     |     6.0268 |    3840 KB |
| collections_vec_push | Go                     |     5.4004 |    8304 KB |
| algorithms_json_parse | Go                     |     3.5428 |    3600 KB |
| concurrency_spawn_tasks | Go                     |     3.2276 |    3552 KB |
| concurrency_channel_pingpong | Go                     |    19.8266 |    3584 KB |
| hello        | Rust                   |     2.6280 |    1264 KB |
| arithmetic   | Rust                   |     2.5853 |    1200 KB |
| dungeon      | Rust                   |     2.5663 |    1200 KB |
| loop         | Rust                   |  1543.6780 |    1264 KB |
| fib          | Rust                   |  1552.4160 |    1264 KB |
| nested       | Rust                   |    68.8196 |    1264 KB |
| struct_sum   | Rust                   |     2.5545 |    1200 KB |
| loop_nofold  | Rust                   |  1544.6120 |    1264 KB |
| cpu_bound    | Rust                   |   865.3800 |    1264 KB |
| mix          | Rust                   |  1990.3540 |    1264 KB |
| memory_alloc_struct | Rust                   |     4.6745 |    1264 KB |
| collections_vec_push | Rust                   |     6.0170 |    3264 KB |
| concurrency_channel_pingpong | Rust                   |    11.3840 |    3024 KB |

# Binary size — hello world (lower is better)
# release: optimized build as produced by the toolchain
# stripped: same binary after strip (strip -x on macOS)
# upx: UPX --best (— if UPX unavailable or unsupported for this format)

| Language               |   Release |  Stripped |       UPX |
|------------------------|-----------|-----------|-----------|
| Nyra (Zero Types)      |    32.7 KB |    32.7 KB |        — |
| Nyra (Explicit Types)  |    32.7 KB |    32.7 KB |        — |
| C                      |    32.6 KB |    32.7 KB |        — |
| C++                    |    34.4 KB |    34.3 KB |        — |
| Go                     |  2315.8 KB |  2213.8 KB |        — |
| Rust                   |   445.5 KB |   358.0 KB |        — |
| Java                   |      414 B |      414 B |        — |
| Node                   |       27 B |        — |        — |
| Python                 |       20 B |        — |        — |

========================================================================
NYRA ZERO TYPES vs EXPLICIT TYPES — same algorithm, annotations optional
========================================================================

Nyra appears twice:

  • Nyra (Zero Types)
  • Nyra (Explicit Types)

Both generate native code.

The benchmark demonstrates that Zero Types introduces no measurable runtime overhead.

   Benchmark                      Zero Types         Explicit Types   Δ time
   --------------------------------------------------------------------------
   hello                           2.12 ms              2.16 ms    +1.6%
   arithmetic                      2.16 ms              2.18 ms    +1.2%
   loop                        1,179.08 ms          1,182.17 ms    +0.3%
   fib                         1,177.45 ms          1,177.53 ms       0%
   nested                         52.33 ms             52.49 ms    +0.3%
   struct                          2.09 ms              2.08 ms    -0.5%
   dungeon                         2.13 ms              2.07 ms    -2.8%
   cpu_bound                     808.24 ms            808.84 ms    +0.1%
   mix                         1,527.70 ms          1,528.77 ms    +0.1%
   loop_nofold                 1,178.34 ms          1,177.71 ms    -0.1%
   memory_alloc_struct             11.32 ms             11.86 ms    +4.7%
   memory_free_struct             11.08 ms             11.81 ms    +6.6%
   memory_arena                    4.35 ms              4.68 ms    +7.6%
   memory_ownership                3.72 ms              4.09 ms   +10.2%
   strings_concat              1,475.38 ms          1,526.90 ms    +3.5%
   strings_substring               4.28 ms              4.71 ms   +10.0%
   strings_replace                 5.19 ms              5.53 ms    +6.6%
   strings_split                   4.68 ms              4.64 ms    -0.8%
   strings_utf8                    8.51 ms              8.57 ms    +0.7%
   collections_hashmap             34.48 ms             34.87 ms    +1.1%
   collections_hashset             34.41 ms             34.59 ms    +0.5%
   collections_vec_push              3.94 ms              4.23 ms    +7.3%
   collections_vec_pop              4.88 ms              5.31 ms    +8.8%
   collections_sort                2.47 ms              2.58 ms    +4.3%
   algorithms_qsort                2.45 ms              2.47 ms    +0.9%
   algorithms_mergesort              2.28 ms              2.49 ms    +9.6%
   algorithms_binary_search              2.10 ms              2.31 ms    +9.9%
   algorithms_json_parse             15.95 ms             16.23 ms    +1.7%
   algorithms_regex               18.55 ms             18.84 ms    +1.6%
   concurrency_spawn_tasks             31.52 ms             31.58 ms    +0.2%
   concurrency_channel_pingpong             51.05 ms             51.89 ms    +1.6%
   concurrency_worker_pool         10,793.28 ms         10,764.40 ms    -0.3%
   concurrency_parallel_map              3.44 ms              3.42 ms    -0.7%
   cpu_bound_pgo                 814.01 ms            814.86 ms    +0.1%

   Same source algorithm in every row — only type annotations differ.
   Median |Δ| across 34 benchmarks: 1.57% time, 0.00% memory.
   Small non-zero deltas are run-to-run noise, not type overhead.

   Benchmark                      Zero Types         Explicit Types   Δ memory
   ----------------------------------------------------------------------------
   hello                             1.02 MB                1.02 MB         0%
   arithmetic                        1.02 MB                1.02 MB         0%
   loop                              1.02 MB                1.02 MB         0%
   fib                               1.02 MB                1.02 MB         0%
   nested                            1.02 MB                1.02 MB         0%
   struct                            1.02 MB                1.02 MB         0%
   dungeon                           1.02 MB                1.02 MB         0%
   cpu_bound                         1.02 MB                1.02 MB         0%
   mix                               1.02 MB                1.02 MB         0%
   loop_nofold                       1.02 MB                1.02 MB         0%
   memory_alloc_struct                1.05 MB                1.05 MB         0%
   memory_free_struct                1.08 MB                1.05 MB      -2.9%
   memory_arena                      1.02 MB                1.02 MB         0%
   memory_ownership                  1.02 MB                1.02 MB         0%
   strings_concat                 3281.45 MB             3310.50 MB      +0.9%
   strings_substring                 2.56 MB                2.56 MB         0%
   strings_replace                   2.56 MB                2.56 MB         0%
   strings_split                     2.69 MB                2.56 MB      -4.7%
   strings_utf8                      1.02 MB                1.02 MB         0%
   collections_hashmap                8.44 MB                8.56 MB      +1.5%
   collections_hashset                8.47 MB                8.44 MB      -0.4%
   collections_vec_push                2.98 MB                3.05 MB      +2.1%
   collections_vec_pop                2.98 MB                2.98 MB         0%
   collections_sort                  1.30 MB                1.27 MB      -2.4%
   algorithms_qsort                  1.02 MB                1.02 MB         0%
   algorithms_mergesort                1.02 MB                1.02 MB         0%
   algorithms_binary_search                1.02 MB                1.02 MB         0%
   algorithms_json_parse                1.02 MB                1.02 MB         0%
   algorithms_regex                  1.11 MB                1.05 MB      -5.6%
   concurrency_spawn_tasks                1.39 MB                1.42 MB      +2.2%
   concurrency_channel_pingpong                1.05 MB                1.05 MB         0%
   concurrency_worker_pool                3.17 MB                3.11 MB      -2.0%
   concurrency_parallel_map                1.11 MB                1.12 MB      +1.4%
   cpu_bound_pgo                     1.02 MB                1.02 MB         0%

========================================================================
FULL COMPARISON MATRIX — time + peak memory per cell
========================================================================

   Benchmark                 Nyra-Z      Nyra-T           C         C++          Go        Rust
   --------------------------------------------------------------------------------------------
   hello                     2.12 *      2.16 †      2.30 †      2.24 †       3.06        2.63 
                            1.02 MB     1.02 MB     1.02 MB     1.02 MB     3.52 MB     1.23 MB
   (Minimal stdout I/O)

   arithmetic                2.16 *      2.18 †       2.44        2.34        3.09        2.59 
                            1.02 MB     1.02 MB     1.05 MB     1.03 MB     3.53 MB     1.17 MB
   (Two integer adds)

   loop                  1,179.08 *  1,182.17 †  1,298.88 †   1,295.20    1,308.29    1,543.68 
                            1.02 MB     1.02 MB     1.02 MB     1.03 MB     3.50 MB     1.23 MB
   (Modular sum 0..N-1 (N=375M, mod 1e9+7))

   fib                   1,177.45 *  1,177.53 †  1,303.35 †   1,295.81    1,299.21    1,552.42 
                            1.02 MB     1.02 MB     1.02 MB     1.03 MB     3.39 MB     1.23 MB
   (Fibonacci swaps (375M steps, mod 1e9+7))

   nested                   52.33 *     52.49 †     57.84 †      57.67       58.50       68.82 
                            1.02 MB     1.02 MB     1.02 MB     1.03 MB     3.39 MB     1.23 MB
   (2D nested loop (4000×4000, mod 1e9+7))

   struct_sum                2.09 †      2.08 *      2.13 †       2.16       28.76        2.55 
                            1.02 MB     1.02 MB     1.02 MB     1.03 MB     3.58 MB     1.17 MB
   (Struct field access hot loop (80M))

   dungeon                   2.13 †      2.07 *      2.17 †       2.30        2.93        2.57 
                            1.02 MB     1.02 MB     1.02 MB     1.03 MB     3.36 MB     1.17 MB
   (Multi-file Dungeon Steps app)

   cpu_bound               808.24 †    808.84 †    462.57 *     467.69      579.05      865.38 
                            1.02 MB     1.02 MB     1.03 MB     1.03 MB     3.55 MB     1.23 MB
   (Mod mul-add chain (180M, mod 997))

   mix                   1,527.70 *  1,528.77 †  1,797.80 †   1,803.38    1,806.18    1,990.35 
                            1.02 MB     1.02 MB     1.02 MB     1.03 MB     3.55 MB     1.23 MB
   (Chained mod mix (270M, mod 1e9+7))

   loop_nofold           1,178.34 †  1,177.71 *   1,295.35    1,306.02    1,296.71    1,544.61 
                            1.02 MB     1.02 MB     1.03 MB     1.03 MB     3.55 MB     1.23 MB
   (Modular sum anti-constant-fold (N=375M))

   memory_alloc_struct       11.32       11.86       4.00 *           —       5.40        4.67 
                            1.05 MB     1.05 MB     1.02 MB                 3.52 MB     1.23 MB
   (malloc/free struct nodes (500k default, BENCH_SCALE))

   memory_free_struct        11.08       11.81       3.90 *           —       5.03            —
                            1.08 MB     1.05 MB     1.02 MB                 3.47 MB            
   (alloc+free 16 B blocks)

   memory_arena              4.35 †      4.68 †      3.93 *           —       5.33            —
                            1.02 MB     1.02 MB     1.02 MB                 3.52 MB            
   (bump arena simulation)

   memory_ownership          3.72 *      4.09 †      4.03 †           —       5.26            —
                            1.02 MB     1.02 MB     1.02 MB                 3.47 MB            
   (struct pass-by-value hot loop)

   strings_concat         1,475.38    1,526.90            —           —    309.28 *           —
                         3281.45 MB  3310.50 MB                            17.33 MB            
   (strcat chain)

   strings_substring         4.28 *      4.71 †           —           —           —           —
                            2.56 MB     2.56 MB                                                
   (substring slices)

   strings_replace           5.19 *      5.53 †           —           —           —           —
                            2.56 MB     2.56 MB                                                
   (str_replace)

   strings_split              4.68       4.64 *           —           —           —           —
                            2.69 MB     2.56 MB                                                
   (strstr + substring split)

   strings_utf8              8.51 *      8.57 †           —           —           —           —
                            1.02 MB     1.02 MB                                                
   (UTF-8 byte iterate (char_at))

   collections_hashmap       34.48       34.87            —           —      6.03 *           —
                            8.44 MB     8.56 MB                             3.75 MB            
   (HashMap insert/get (string keys))

   collections_hashset      34.41 *     34.59 †           —           —           —           —
                            8.47 MB     8.44 MB                                                
   (HashSet insert/contains)

   collections_vec_push      3.94 *       4.23            —           —       5.40        6.02 
                            2.98 MB     3.05 MB                             8.11 MB     3.19 MB
   (Vec push growth)

   collections_vec_pop       4.88 *      5.31 †           —           —           —           —
                            2.98 MB     2.98 MB                                                
   (Vec push then pop all)

   collections_sort          2.47 *      2.58 †           —           —           —           —
                            1.30 MB     1.27 MB                                                
   (shell-sort pass + sum)

   algorithms_qsort          2.45 *      2.47 †           —           —           —           —
                            1.02 MB     1.02 MB                                                
   (partition-style mod sum)

   algorithms_mergesort      2.28 *      2.49 †           —           —           —           —
                            1.02 MB     1.02 MB                                                
   (merge-style mod sum)

   algorithms_binary_search      2.10 *      2.31 †           —           —           —           —
                            1.02 MB     1.02 MB                                                
   (binary search probes)

   algorithms_json_parse     15.95 †     16.23 †           —           —      3.54 *           —
                            1.02 MB     1.02 MB                             3.52 MB            
   (json_get_i32 hot loop)

   algorithms_regex         18.55 *     18.84 †           —           —           —           —
                            1.11 MB     1.05 MB                                                
   (regex_is_match)

   concurrency_spawn_tasks     31.52 †      31.58            —           —      3.23 *           —
                            1.39 MB     1.42 MB                             3.47 MB            
   (spawn N lightweight tasks)

   concurrency_channel_pingpong     51.05 †     51.89 †           —           —      19.83      11.38 *
                            1.05 MB     1.05 MB                             3.50 MB     2.95 MB
   (spawn producer + channel recv)

   concurrency_worker_pool  10,793.28  10,764.40 *           —           —           —           —
                            3.17 MB     3.11 MB                                                
   (4-worker channel pool)

   concurrency_parallel_map      3.44 †      3.42 *           —           —           —           —
                            1.11 MB     1.12 MB                                                
   (parallel for + checksum)

   cpu_bound_pgo           814.01 *    814.86 †           —           —           —           —
                            1.02 MB     1.02 MB                                                

   escape_local_channel      3.63 *           —           —           —           —           —
                            1.02 MB                                                            

   escape_point_sroa         2.11 *           —           —           —           —           —
                            1.02 MB                                                            

   escape_spawn_channel     51.48 *           —           —           —           —           —
                            1.05 MB                                                            

   * = fastest time in row   † = lowest memory in row

========================================================================
LANGUAGE LEADERBOARD — average across all benchmarks
========================================================================

   #    Language                   Avg time      Avg RAM    Hello bin  Time wins   Mem wins
   --------------------------------------------------------------------------------------
   1    Go                         337.71 ms      4.43 MB      2.26 MB    4/20      2/20  
   2    C                          445.76 ms      1.02 MB      32.6 KB    4/14     11/14  
   3    Nyra (Zero Types)          522.49 ms     90.40 MB      32.7 KB   22/37     28/37  
   4    Nyra (Explicit Types)      567.91 ms     99.13 MB      32.7 KB    6/34     27/34  
   5    Rust                       584.44 ms      1.50 MB     445.5 KB    1/13      0/13  
   6    C++                        623.48 ms      1.03 MB      34.4 KB    0/10      1/10  

========================================================================
DETAILED RESULTS — every language × every benchmark
========================================================================

## hello
   Minimal stdout I/O
   Fastest: Nyra (Zero Types) (2.12 ms)
   Slowest: Go (3.06 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.52 MB)
   Average: 2.42 ms, 1.47 MB across 6 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best       Binary
   ------------------------------------------------------------------------------------------
   Nyra (Zero Types)            2.1220       1    1.00x        1.02 MB      1    1.00x      32.7 KB
   Nyra (Explicit Types)        2.1564       2    1.02x        1.02 MB      2    1.00x      32.7 KB
   C++                          2.2364       3    1.05x        1.02 MB      4    1.00x      34.4 KB
   C                            2.3020       4    1.08x        1.02 MB      3    1.00x      32.6 KB
   Rust                         2.6280       5    1.24x        1.23 MB      5    1.22x     445.5 KB
   Go                           3.0624       6    1.44x        3.52 MB      6    3.46x      2.26 MB
   Insights:
     • Fastest runtime: Nyra (Zero Types) (2.12 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • Nyra (Zero Types) is 1.08× faster than C on this suite.
     • Nyra (Zero Types) is 1.05× faster than C++ on this suite.
     • Nyra (Zero Types) is 1.44× faster than Go on this suite.
     • Nyra (Zero Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Zero Types) is 1.24× faster than Rust on this suite.
     • Nyra (Explicit Types) is 1.07× faster than C on this suite.
     • Nyra (Explicit Types) is 1.04× faster than C++ on this suite.
     • Nyra (Explicit Types) is 1.42× faster than Go on this suite.
     • Nyra (Explicit Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.22× faster than Rust on this suite.

## arithmetic
   Two integer adds
   Fastest: Nyra (Zero Types) (2.16 ms)
   Slowest: Go (3.09 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.53 MB)
   Average: 2.46 ms, 1.47 MB across 6 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)            2.1551       1    1.00x        1.02 MB      1    1.00x
   Nyra (Explicit Types)        2.1813       2    1.01x        1.02 MB      2    1.00x
   C++                          2.3370       3    1.08x        1.03 MB      3    1.02x
   C                            2.4409       4    1.13x        1.05 MB      4    1.03x
   Rust                         2.5853       5    1.20x        1.17 MB      5    1.15x
   Go                           3.0902       6    1.43x        3.53 MB      6    3.48x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (2.16 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • Nyra (Zero Types) is 1.13× faster than C on this suite.
     • Nyra (Zero Types) is 1.08× faster than C++ on this suite.
     • Nyra (Zero Types) is 1.43× faster than Go on this suite.
     • Nyra (Zero Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Zero Types) is 1.20× faster than Rust on this suite.
     • Nyra (Explicit Types) is 1.12× faster than C on this suite.
     • Nyra (Explicit Types) is 1.07× faster than C++ on this suite.
     • Nyra (Explicit Types) is 1.42× faster than Go on this suite.
     • Nyra (Explicit Types) uses 3.5× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.19× faster than Rust on this suite.

## loop
   Modular sum 0..N-1 (N=375M, mod 1e9+7)
   Fastest: Nyra (Zero Types) (1,179.08 ms)
   Slowest: Rust (1,543.68 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.50 MB)
   Average: 1,301.22 ms, 1.47 MB across 6 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)         1179.0800       1    1.00x        1.02 MB      1    1.00x
   Nyra (Explicit Types)     1182.1680       2    1.00x        1.02 MB      2    1.00x
   C++                       1295.2040       3    1.10x        1.03 MB      4    1.02x
   C                         1298.8840       4    1.10x        1.02 MB      3    1.00x
   Go                        1308.2920       5    1.11x        3.50 MB      6    3.45x
   Rust                      1543.6780       6    1.31x        1.23 MB      5    1.22x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (1,179.08 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • Nyra (Zero Types) is 1.10× faster than C on this suite.
     • Nyra (Zero Types) is 1.10× faster than C++ on this suite.
     • Nyra (Zero Types) is 1.11× faster than Go on this suite.
     • Nyra (Zero Types) uses 3.4× less RAM than Go (peak RSS).
     • Nyra (Zero Types) is 1.31× faster than Rust on this suite.
     • Nyra (Explicit Types) is 1.10× faster than C on this suite.
     • Nyra (Explicit Types) is 1.10× faster than C++ on this suite.
     • Nyra (Explicit Types) is 1.11× faster than Go on this suite.
     • Nyra (Explicit Types) uses 3.4× less RAM than Go (peak RSS).
     • Nyra (Explicit Types) is 1.31× faster than Rust on this suite.

## fib
   Fibonacci swaps (375M steps, mod 1e9+7)
   Fastest: Nyra (Zero Types) (1,177.45 ms)
   Slowest: Rust (1,552.42 ms)
   Lowest RAM: Nyra (Zero Types) (1.02 MB)
   Highest RAM: Go (3.39 MB)
   Average: 1,300.96 ms, 1.45 MB across 6 languages

   Language                  Time (ms)  Time #  vs best       Peak RSS  RAM #  vs best
   ------------------------------------------------------------------------------
   Nyra (Zero Types)         1177.4480       1    1.00x        1.02 MB      1    1.00x
   Nyra (Explicit Types)     1177.5280       2    1.00x        1.02 MB      2    1.00x
   C++                       1295.8100       3    1.10x        1.03 MB      4    1.02x
   Go                        1299.2120       4    1.10x        3.39 MB      6    3.34x
   C                         1303.3520       5    1.11x        1.02 MB      3    1.00x
   Rust                      1552.4160       6    1.32x        1.23 MB      5    1.22x
   Insights:
     • Fastest runtime: Nyra (Zero Types) (1,177.45 ms mean)
     • Lowest peak memory: Nyra (Zero Types) (1.02 MB)
     • Nyra (Zero Types) is 1.11× faster than C on this suite.
     • Nyra (Zero Types) is 1.10× faster than C++ on this suite.
     • Nyra (Zero Types) is 1.10× faster than Go on this suite.
