"filename", "language", "Rust", "TOML", "JSON with Comments", "Markdown", "YAML", "Shell Script", "Makefile", "JSON", "PowerShell", "XML", "C++", "C", "Python", "JavaScript", "HTML", "CSS", "TypeScript", "Ignore", "Go", "Java", "Ini", "comment", "blank", "total"
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/DFS/nyra.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/DFS/src/dfs.ny", "Rust", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Dijkstra/main.ny", "Rust", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Dijkstra/nyra.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Dijkstra/src/dijkstra.ny", "Rust", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 74
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Factorial/main.ny", "Rust", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Factorial/nyra.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Factorial/src/ASCII.ny", "Rust", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Factorial/src/logic.ny", "Rust", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Fibonacci/main.ny", "Rust", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Fibonacci/nyra.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Fibonacci/src/ASCII.ny", "Rust", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Fibonacci/src/logic.ny", "Rust", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/FizzBuzz/main.ny", "Rust", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/FizzBuzz/nyra.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/FizzBuzz/src/ASCII.ny", "Rust", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/FizzBuzz/src/logic.ny", "Rust", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/gpu/main.ny", "Rust", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/gpu/nyra.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/gpu/rt_gpu_font.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 61
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/main.ny", "Rust", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/nyra-skill.md", "Markdown", 0, 0, 0, 1126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 366, 1492
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/nyra.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/ai/explain.ny", "Rust", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/ai/fix.ny", "Rust", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/app.ny", "Rust", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 185
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/broadcast/sender.ny", "Rust", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/cli.ny", "Rust", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 335
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/core/id.ny", "Rust", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 28
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/core/types.ny", "Rust", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 75
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/ext/plugin.ny", "Rust", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/features/engine.ny", "Rust", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/features/palette.ny", "Rust", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/gpu/ansi.ny", "Rust", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 112
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/gpu/font.ny", "Rust", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/gpu/keyboard.ny", "Rust", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 308
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/gpu/render.ny", "Rust", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 92
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/GhostTerm/src/gpu/tabs.ny", "Rust", 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 415
